D:\Licenta\Udacity Driving Simulator\Data\IMG\center_2024_06_11_14_06_49_034.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\left_2024_06_11_14_06_49_034.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\right_2024_06_11_14_06_49_034.jpg,0,0,0,2.184937E-05
D:\Licenta\Udacity Driving Simulator\Data\IMG\center_2024_06_11_14_06_49_106.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\left_2024_06_11_14_06_49_106.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\right_2024_06_11_14_06_49_106.jpg,0,0,0,2.444084E-05
D:\Licenta\Udacity Driving Simulator\Data\IMG\center_2024_06_11_14_06_49_176.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\left_2024_06_11_14_06_49_176.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\right_2024_06_11_14_06_49_176.jpg,0,0,0,2.353615E-05
D:\Licenta\Udacity Driving Simulator\Data\IMG\center_2024_06_11_14_06_49_243.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\left_2024_06_11_14_06_49_243.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\right_2024_06_11_14_06_49_243.jpg,0,0.1628172,0,0.08397479
D:\Licenta\Udacity Driving Simulator\Data\IMG\center_2024_06_11_14_06_49_312.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\left_2024_06_11_14_06_49_312.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\right_2024_06_11_14_06_49_312.jpg,0,0.3873699,0,0.324172
D:\Licenta\Udacity Driving Simulator\Data\IMG\center_2024_06_11_14_06_49_384.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\left_2024_06_11_14_06_49_384.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\right_2024_06_11_14_06_49_384.jpg,0,0.5752741,0,0.6840497
D:\Licenta\Udacity Driving Simulator\Data\IMG\center_2024_06_11_14_06_49_457.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\left_2024_06_11_14_06_49_457.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\right_2024_06_11_14_06_49_457.jpg,0,0.8226136,0,1.33087
D:\Licenta\Udacity Driving Simulator\Data\IMG\center_2024_06_11_14_06_49_527.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\left_2024_06_11_14_06_49_527.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\right_2024_06_11_14_06_49_527.jpg,0,1,0,2.165638
D:\Licenta\Udacity Driving Simulator\Data\IMG\center_2024_06_11_14_06_49_596.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\left_2024_06_11_14_06_49_596.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\right_2024_06_11_14_06_49_596.jpg,0,1,0,2.821073
D:\Licenta\Udacity Driving Simulator\Data\IMG\center_2024_06_11_14_06_49_666.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\left_2024_06_11_14_06_49_666.jpg,D:\Licenta\Udacity Driving Simulator\Data\IMG\right_2024_06_11_14_06_49_666.jpg,0,1,0,3.751209
